tag_id,tag_name,tag_type,parent_tag_id,description,status,created_at,updated_at
apple_supply_chain,蘋果供應鏈,event,,Apple 供應鏈概念,active,2026-04-12 14:26:27,2026-04-12 14:26:27
capex_beneficiary,資本支出受惠,event,,客戶資本支出增加受惠,active,2026-04-12 14:26:27,2026-04-12 14:26:27
china_plus_one,中國+1,event,,中國+1 分散供應鏈策略受惠,active,2026-04-12 14:26:27,2026-04-12 14:26:27
inventory_restocking,庫存回補,event,,庫存回補週期受惠,active,2026-04-12 14:26:27,2026-04-12 14:26:27
nvidia_supply_chain,輝達供應鏈,event,,NVIDIA 供應鏈概念,active,2026-04-12 14:26:27,2026-04-12 14:26:27
order_transfer,轉單受惠,event,,地緣政治或產能轉單受惠,active,2026-04-12 14:26:27,2026-04-12 14:26:27
price_hike,漲價概念,event,,產品漲價受惠,active,2026-04-12 14:26:27,2026-04-12 14:26:27
tsmc_expansion,台積電擴產受惠,event,,台積電資本支出擴產受惠股,active,2026-04-12 14:26:27,2026-04-12 14:26:27
aluminum_cap,鋁質電容,industry,passive_component,鋁質電解電容,active,2026-04-12 15:10:46,2026-04-12 15:10:46
auto_parts,汽車零組件,industry,,汽車及零組件製造,active,2026-04-12 17:00:42,2026-04-12 17:00:42
battery,電池,industry,,電池芯 / 電池模組,active,2026-04-12 14:26:27,2026-04-12 14:26:27
biotech,生技醫療,industry,,生物技術、製藥、醫療器材,active,2026-04-12 17:00:42,2026-04-12 17:00:42
cable,線材,industry,,電線電纜 / 高速傳輸線,active,2026-04-12 14:26:27,2026-04-12 14:26:27
ccl,CCL,industry,pcb,銅箔基板,active,2026-04-12 14:26:27,2026-04-12 14:26:27
cement,水泥,industry,,水泥及預拌混凝土,active,2026-04-12 17:00:42,2026-04-12 17:00:42
ceramic_filter,陶瓷濾波器,industry,passive_component,LTCC陶瓷濾波器 / 射頻元件,active,2026-04-12 15:10:46,2026-04-12 15:10:46
chemical,化學,industry,,化學工業及特用化學品,active,2026-04-12 17:00:42,2026-04-12 17:00:42
chip_resistor,晶片電阻,industry,passive_component,晶片電阻器,active,2026-04-12 15:10:46,2026-04-12 15:10:46
cis,CIS,industry,semiconductor,CMOS 影像感測器,active,2026-04-12 14:26:27,2026-04-12 14:26:27
cloud_digital,數位雲端,industry,,雲端服務、數位轉型、電商,active,2026-04-12 17:00:42,2026-04-12 17:00:42
computer_peripheral,電腦週邊,industry,,電腦及週邊設備（含伺服器、工業電腦等）,active,2026-04-12 17:04:20,2026-04-12 17:04:20
connector,連接器,industry,electronic_component,電子連接器,active,2026-04-12 14:26:27,2026-04-12 14:26:27
construction,營建,industry,,建築營造、建材,active,2026-04-12 17:00:42,2026-04-12 17:00:42
cultural_creative,文創,industry,,文化創意、影視、遊戲,active,2026-04-12 17:00:42,2026-04-12 17:00:42
dram,DRAM,industry,semiconductor,動態隨機存取記憶體,active,2026-04-12 14:26:27,2026-04-12 14:26:27
driver_ic,驅動IC,industry,ic_design,面板驅動IC,active,2026-04-12 14:26:27,2026-04-12 14:26:27
e_paper,電子紙,industry,panel,電子紙顯示器,active,2026-04-12 15:10:46,2026-04-12 15:10:46
electrical_cable,電器電纜,industry,,電線電纜及電器製造,active,2026-04-12 17:00:42,2026-04-12 17:00:42
electronic_component,電子零組件,industry,,電子零組件產業（含被動元件、連接器等）,active,2026-04-12 17:04:20,2026-04-12 17:04:20
ems,EMS,industry,electronic_component,電子代工服務,active,2026-04-12 14:26:27,2026-04-12 14:26:27
financial,金融,industry,,銀行、保險、證券、金控,active,2026-04-12 17:00:42,2026-04-12 17:00:42
food_industry,食品,industry,,食品飲料製造,active,2026-04-12 17:00:42,2026-04-12 17:00:42
glass_ceramic,玻璃陶瓷,industry,,玻璃及陶瓷製品,active,2026-04-12 17:00:42,2026-04-12 17:00:42
green_energy,綠能環保,industry,,再生能源、環保、廢棄物處理,active,2026-04-12 17:00:42,2026-04-12 17:00:42
heat_dissipation,散熱,industry,electronic_component,散熱模組與解決方案,active,2026-04-12 14:26:27,2026-04-12 14:26:27
high_speed_connector,高速連接器,industry,connector,高速傳輸連接器 / 伺服器連接器,active,2026-04-12 15:10:46,2026-04-12 15:10:46
home_living,居家生活,industry,,居家用品、家具、家電,active,2026-04-12 17:00:42,2026-04-12 17:00:42
ic_design,IC設計,industry,semiconductor,積體電路設計,active,2026-04-12 14:26:27,2026-04-12 14:26:27
inductor_component,電感元件,industry,passive_component,電感器 / 功率電感,active,2026-04-12 15:10:46,2026-04-12 15:10:46
ipc,工業電腦,industry,computer_peripheral,工業電腦與嵌入式系統,active,2026-04-12 14:26:27,2026-04-12 14:26:27
led,LED,industry,optoelectronic,發光二極體,active,2026-04-12 14:26:27,2026-04-12 14:26:27
led_backlight,LED背光,industry,led,LED背光模組,active,2026-04-12 15:10:46,2026-04-12 15:10:46
led_chip,LED磊晶,industry,led,LED磊晶片 / 晶粒,active,2026-04-12 15:10:46,2026-04-12 15:10:46
mini_micro_led,Mini/Micro LED,industry,led,Mini LED / Micro LED 顯示,active,2026-04-12 15:10:46,2026-04-12 15:10:46
mlcc,MLCC,industry,passive_component,積層陶瓷電容,active,2026-04-12 15:10:46,2026-04-12 15:10:46
mosfet,MOSFET,industry,semiconductor,金屬氧化物半導體場效電晶體,active,2026-04-12 14:26:27,2026-04-12 14:26:27
motor,馬達,industry,,電動馬達 / 伺服馬達,active,2026-04-12 14:26:27,2026-04-12 14:26:27
nand,NAND Flash,industry,semiconductor,NAND 快閃記憶體,active,2026-04-12 14:26:27,2026-04-12 14:26:27
networking,網通,industry,,網路通訊設備,active,2026-04-12 14:26:27,2026-04-12 14:26:27
oil_gas,油電燃氣,industry,,石油、天然氣、電力,active,2026-04-12 17:00:42,2026-04-12 17:00:42
oled_panel,OLED,industry,panel,有機發光二極體面板,active,2026-04-12 15:10:46,2026-04-12 15:10:46
optical_fiber,光纖,industry,,光纖通訊元件,active,2026-04-12 14:26:27,2026-04-12 14:26:27
optical_module,光模組,industry,optoelectronic,光收發模組,active,2026-04-12 14:26:27,2026-04-12 14:26:27
optoelectronic,光電,industry,,光電產業（含面板、LED、光學模組等）,active,2026-04-12 17:04:20,2026-04-12 17:04:20
osat,封測,industry,semiconductor,半導體封裝與測試,active,2026-04-12 14:26:27,2026-04-12 14:26:27
panel,面板,industry,optoelectronic,液晶面板 / OLED,active,2026-04-12 14:26:27,2026-04-12 14:26:27
paper,造紙,industry,,紙漿、造紙、包裝,active,2026-04-12 17:00:42,2026-04-12 17:00:42
passive_component,被動元件,industry,electronic_component,電阻、電容、電感,active,2026-04-12 14:26:27,2026-04-12 14:26:27
pcb,PCB,industry,electronic_component,印刷電路板,active,2026-04-12 14:26:27,2026-04-12 14:26:27
plastics,塑膠,industry,,塑膠原料及加工,active,2026-04-12 17:00:42,2026-04-12 17:00:42
power_supply,電源,industry,electronic_component,電源供應器,active,2026-04-12 14:26:27,2026-04-12 14:26:27
reducer,減速機,industry,,減速機 / 齒輪箱,active,2026-04-12 14:26:27,2026-04-12 14:26:27
retail_trade,貿易百貨,industry,,百貨零售、貿易通路,active,2026-04-12 17:00:42,2026-04-12 17:00:42
rf_component,RF射頻,industry,networking,射頻元件 / PA / LNA,active,2026-04-12 15:10:46,2026-04-12 15:10:46
rubber,橡膠,industry,,橡膠製品、輪胎,active,2026-04-12 17:00:42,2026-04-12 17:00:42
